"CVEGEO","CVE_ENT","NOM_ENT","CVE_MUN","NOM_MUN","CVE_LOC","NOM_LOC","CVE_AGEB","CVE_MZA","POBTOT","POBFEM","POBMAS","POB0_14","POB0_14_P","P15A29A","P15A29A_P","P30A59A","P30A59A_P","P_60YMAS","P_60YMAS_P","P_CD_T","P_CD_P","GRAPROES","GRAPROES_F","GRAPROES_M","VIVTOT","VIVPAR","VIVPAR_P","TVIPAHAB","TVIPAHAB_P","VIVNOHAB","VIVNOHAB_P","PROM_OCUP","PRO_OCUP_C","V3MASOCU","V3MASOCU_P","VPH_PIDT","VPH_PIDT_P","VPH_C_EL","VPH_C_EL_P","VPH_EXSA","VPH_EXSA_P","VPH_DREN","VPH_DREN_P","RECUCALL_C","RAMPAS_C","PASOPEAT_C","BANQUETA_C","GUARNICI_C","CICLOVIA_C","CICLOCAR_C","ALUMPUB_C","LETRERO_C","TELPUB_C","ARBOLES_C","DRENAJEP_C","TRANSCOL_C","ACESOPER_C","ACESOAUT_C","PUESSEMI_C","PUESAMBU_C","RECUCALL_D","RAMPAS_D","BANQUETA_D","GUARNICI_D","ALUMPUB_D","LETRERO_D","TELPUB_D","ARBOLES_D","DRENAJEP_D","TRANSCOL_D","ACESOPER_D","ACESOAUT_D","PUESSEMI_D","PUESAMBU_D","FECHA_POLI","FECHA_INF"
"0901500011159001","09","Ciudad de México","015","Cuauhtémoc","0001","Cuauhtémoc","1159","001","330","182","148","41","12.42","66","20.0","144","43.64","79","23.94","14","4.24","12.2","12.03","12.42","112","112","100.0","106","94.64","6","5.36","3.11","0.73","0","0.0","104","98.11","106","100.0","106","100.0","106","100.0","1","2","2","1","1","3","3","2","1","2","1","1","2","3","3","3","3","Todas las vialidades","Alguna vialidad","Todas las vialidades","Todas las vialidades","Alguna vialidad","Todas las vialidades","Alguna vialidad","Todas las vialidades","Todas las vialidades","Alguna vialidad","Restricción en ninguna vialidad","Restricción en ninguna vialidad","Ninguna vialidad","Ninguna vialidad","2020","2020"
"0901500011178019","09","Ciudad de México","015","Cuauhtémoc","0001","Cuauhtémoc","1178","019","0","0","0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0.0","0.0","0.0","0","0","0.0","0","0.0","0","0.0","0.0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","1","2","2","1","1","3","3","3","3","3","2","2","2","3","3","3","3","Todas las vialidades","Alguna vialidad","Todas las vialidades","Todas las vialidades","Ninguna vialidad","Ninguna vialidad","Ninguna vialidad","Alguna vialidad","Alguna vialidad","Alguna vialidad","Restricción en ninguna vialidad","Restricción en ninguna vialidad","Ninguna vialidad","Ninguna vialidad","2020","2020"
"0901600010872013","09","Ciudad de México","016","Miguel Hidalgo","0001","Miguel Hidalgo","0872","013","32","14","18","-1","6.25","5","15.63","11","34.38","4","12.5","0","0.0","15.3","14.56","15.91","16","16","100.0","11","68.75","5","31.25","2.91","0.45","0","0.0","6","54.55","6","54.55","6","54.55","6","54.55","1","2","2","1","1","3","3","1","2","2","2","2","2","3","3","3","3","Todas las vialidades","Alguna vialidad","Todas las vialidades","Todas las vialidades","Todas las vialidades","Alguna vialidad","Alguna vialidad","Alguna vialidad","Alguna vialidad","Alguna vialidad","Restricción en ninguna vialidad","Restricción en ninguna vialidad","Ninguna vialidad","Ninguna vialidad","2020","2020"
"0901500011549013","09","Ciudad de México","015","Cuauhtémoc","0001","Cuauhtémoc","1549","013","20","9","11","-1","10.0","3","15.0","11","55.0","4","20.0","-1","5.0","12.72","11.67","13.78","9","9","100.0","9","100.0","0","0.0","2.22","0.44","0","0.0","9","100.0","9","100.0","9","100.0","9","100.0","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","Conjunto habitacional","Conjunto habitacional","Conjunto habitacional","Conjunto habitacional","Conjunto habitacional","Conjunto habitacional","Conjunto habitacional","Conjunto habitacional","Conjunto habitacional","Conjunto habitacional","Conjunto habitacional","Conjunto habitacional","Conjunto habitacional","Conjunto habitacional","2020","2020"
"0901500010752014","09","Ciudad de México","015","Cuauhtémoc","0001","Cuauhtémoc","0752","014","433","229","204","67","15.47","96","22.17","204","47.11","66","15.24","31","7.16","12.7","12.22","13.22","183","183","100.0","156","85.25","27","14.75","2.78","0.75","4","2.56","156","100.0","156","100.0","156","100.0","156","100.0","1","2","1","1","1","3","3","1","2","3","1","1","2","3","3","2","3","Todas las vialidades","Alguna vialidad","Todas las vialidades","Todas las vialidades","Todas las vialidades","Alguna vialidad","Ninguna vialidad","Todas las vialidades","Todas las vialidades","Alguna vialidad","Restricción en ninguna vialidad","Restricción en ninguna vialidad","Alguna vialidad","Ninguna vialidad","2020","2020"
"0901600011160015","09","Ciudad de México","016","Miguel Hidalgo","0001","Miguel Hidalgo","1160","015","923","512","411","120","13.0","175","18.96","444","48.1","184","19.93","53","5.74","12.7","12.49","12.97","377","376","99.73","332","88.3","44","11.7","2.76","0.73","5","-1.0","332","100.0","331","99.7","332","100.0","332","100.0","1","2","1","1","1","2","3","2","2","2","1","1","2","3","3","3","2","Todas las vialidades","Alguna vialidad","Todas las vialidades","Todas las vialidades","Alguna vialidad","Alguna vialidad","Alguna vialidad","Todas las vialidades","Todas las vialidades","Alguna vialidad","Restricción en ninguna vialidad","Restricción en ninguna vialidad","Ninguna vialidad","Alguna vialidad","2020","2020"
"0901600010656021","09","Ciudad de México","016","Miguel Hidalgo","0001","Miguel Hidalgo","0656","021","159","88","71","25","15.72","19","11.95","102","64.15","13","8.18","4","2.52","15.49","15.43","15.56","146","146","100.0","73","50.0","73","50.0","2.18","0.52","0","0.0","73","100.0","73","100.0","73","100.0","73","100.0","1","2","1","1","1","2","3","2","2","2","1","1","2","3","3","3","3","Todas las vialidades","Alguna vialidad","Todas las vialidades","Todas las vialidades","Alguna vialidad","Alguna vialidad","Alguna vialidad","Todas las vialidades","Todas las vialidades","Alguna vialidad","Restricción en ninguna vialidad","Restricción en ninguna vialidad","Ninguna vialidad","Ninguna vialidad","2020","2020"
"0901600010660018","09","Ciudad de México","016","Miguel Hidalgo","0001","Miguel Hidalgo","0660","018","0","0","0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0.0","0.0","0.0","0","0","0.0","0","0.0","0","0.0","0.0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","1","1","1","1","1","1","3","1","3","3","1","1","1","3","3","3","3","Todas las vialidades","Todas las vialidades","Todas las vialidades","Todas las vialidades","Todas las vialidades","Ninguna vialidad","Ninguna vialidad","Todas las vialidades","Todas las vialidades","Todas las vialidades","Restricción en ninguna vialidad","Restricción en ninguna vialidad","Ninguna vialidad","Ninguna vialidad","2020","2020"
"0901600010923017","09","Ciudad de México","016","Miguel Hidalgo","0001","Miguel Hidalgo","0923","017","39","23","16","4","10.26","7","17.95","19","48.72","9","23.08","0","0.0","14.29","13.68","15.31","9","9","100.0","9","100.0","0","0.0","4.33","0.53","0","0.0","9","100.0","9","100.0","9","100.0","9","100.0","1","2","1","1","1","3","3","2","2","3","2","2","3","3","3","3","3","Todas las vialidades","Alguna vialidad","Todas las vialidades","Todas las vialidades","Alguna vialidad","Alguna vialidad","Ninguna vialidad","Alguna vialidad","Alguna vialidad","Ninguna vialidad","Restricción en ninguna vialidad","Restricción en ninguna vialidad","Ninguna vialidad","Ninguna vialidad","2020","2020"
"0901500010822007","09","Ciudad de México","015","Cuauhtémoc","0001","Cuauhtémoc","0822","007","114","60","54","7","6.14","20","17.54","70","61.4","17","14.91","-1","0.88","15.82","15.52","16.19","73","73","100.0","60","82.19","13","17.81","1.9","0.44","0","0.0","60","100.0","60","100.0","60","100.0","60","100.0","1","3","2","1","1","3","3","2","2","3","2","1","3","3","3","3","3","Todas las vialidades","Ninguna vialidad","Todas las vialidades","Todas las vialidades","Alguna vialidad","Alguna vialidad","Ninguna vialidad","Alguna vialidad","Todas las vialidades","Ninguna vialidad","Restricción en ninguna vialidad","Restricción en ninguna vialidad","Ninguna vialidad","Ninguna vialidad","2020","2020"
